
iteration,x,y,theta
0,0.000000,-0.000000,0.000000
1,2017.589722,-126.171837,-0.124909
2,2065.244141,-132.155441,-0.124909
3,2108.132812,-137.540695,-0.124909
4,2146.732910,-142.387421,-0.124909
5,2181.472900,-146.749466,-0.124909
6,2212.738770,-150.675323,-0.124909
7,2240.878174,-154.208572,-0.124909
8,2266.203613,-157.388519,-0.124909
9,2288.996582,-160.250458,-0.124909
10,2309.510254,-162.826202,-0.124909
11,2297.701904,-288.506073,-0.163615
12,2314.921387,-291.348877,-0.163615
13,2330.418945,-293.907379,-0.163615
14,2317.449463,-285.347961,5.280107
15,2317.449463,-285.347961,8.313945
16,2314.505859,-279.406403,8.313945
17,2311.856689,-274.058990,8.313945
18,2309.472656,-269.246338,8.313945
19,2307.326904,-264.914948,8.313945
20,2305.395508,-261.016663,8.313945
21,2303.657471,-257.508240,8.313945
22,2302.093262,-254.350647,8.313945
23,2300.685303,-251.508820,8.313945
24,2299.418213,-248.951172,8.313945
25,2298.277832,-246.649292,8.313945
26,2297.251709,-244.577591,8.313945
27,2296.327881,-242.713058,8.313945
28,2295.496582,-241.034988,8.313945
29,2294.748291,-239.524734,8.313945
30,2294.074951,-238.165497,8.313945
31,2293.468994,-236.942184,8.313945
32,2292.923584,-235.841187,8.313945
33,2292.432617,-234.850311,8.313945
34,2291.990967,-233.958511,8.313945
35,2291.593262,-233.155884,8.313945
36,2291.235352,-232.433533,8.313945
37,2290.913330,-231.783417,8.313945
38,2290.623535,-231.198303,8.313945
39,2290.362549,-230.671707,8.313945
40,2290.127686,-230.197769,8.313945
41,2289.916504,-229.771225,8.313945
42,2289.726318,-229.387344,8.313945
43,2289.555176,-229.041840,8.313945
44,2289.401123,-228.730881,8.313945
45,2289.262451,-228.451035,8.313945
46,2289.137695,-228.199158,8.313945
47,2289.025391,-227.972473,8.313945
48,2288.924316,-227.768463,8.313945
49,2288.833252,-227.584854,8.313945
50,2288.751465,-227.419601,8.313945
51,2288.677734,-227.270874,8.313945
52,2288.611572,-227.137024,8.313945
53,2288.551758,-227.016556,8.313945
54,2288.498047,-226.908127,8.313945
55,2288.449707,-226.810547,8.313945
56,2288.406250,-226.722733,8.313945
57,2288.367188,-226.643692,8.313945
58,2288.331787,-226.572556,8.313945
59,2288.300049,-226.508530,8.313945
60,2288.271484,-226.450912,8.313945
61,2288.245850,-226.399063,8.313945
62,2288.222656,-226.352386,8.313945
63,2288.201904,-226.310394,8.313945
64,2288.183350,-226.272583,8.313945
65,2288.166260,-226.238556,8.313945
66,2288.151123,-226.207947,8.313945
67,2288.137451,-226.180389,8.313945
68,2288.125244,-226.155579,8.313945
69,2288.114258,-226.133255,8.313945
70,2288.104248,-226.113159,8.313945
71,2288.095215,-226.095078,8.313945
72,2288.087158,-226.078812,8.313945
73,2288.080078,-226.064163,8.313945
74,2288.073486,-226.050980,8.313945
75,2288.067627,-226.039108,8.313945
76,2288.062256,-226.028427,8.313945
77,2288.057617,-226.018829,8.313945
78,2288.053223,-226.010178,8.313945
79,2288.049316,-226.002396,8.313945
80,2288.045898,-225.995392,8.313945
81,2288.042725,-225.989075,8.313945
82,2288.040039,-225.983414,8.313945
83,2288.037354,-225.978302,8.313945
84,2288.035156,-225.973709,8.313945
85,2288.033203,-225.969574,8.313945
86,2288.031250,-225.965836,8.313945
87,2288.029541,-225.962494,8.313945
88,2288.028076,-225.959488,8.313945
89,2288.026855,-225.956772,8.313945
90,2288.025635,-225.954315,8.313945
91,2288.024414,-225.952118,8.313945
92,2288.023438,-225.950150,8.313945
93,2288.022705,-225.948364,8.313945
94,2288.021729,-225.946762,8.313945
95,2288.020996,-225.945312,8.313945
96,2288.020508,-225.944031,8.313945
97,2288.019775,-225.942856,8.313945
98,2288.019287,-225.941803,8.313945
99,2288.018799,-225.940857,8.313945
100,2288.018555,-225.940018,8.313945
101,2288.018066,-225.939240,8.313945
102,2288.017822,-225.938553,8.313945
103,2288.017334,-225.937927,8.313945
104,2288.017090,-225.937378,8.313945
105,2288.016846,-225.936874,8.313945
106,2288.016602,-225.936417,8.313945
107,2288.016602,-225.936020,8.313945
108,2288.016357,-225.935654,8.313945
109,2288.016113,-225.935318,8.313945
110,2288.016113,-225.935013,8.313945
111,2288.015869,-225.934753,8.313945
112,2288.015625,-225.934509,8.313945
113,2288.015625,-225.934296,8.313945
114,2288.015625,-225.934097,8.313945
115,2288.015381,-225.933914,8.313945
116,2288.015381,-225.933762,8.313945
117,2288.015381,-225.933624,8.313945
118,2288.015137,-225.933487,8.313945
119,2288.015137,-225.933380,8.313945
120,2288.015137,-225.933273,8.313945
121,2288.015137,-225.933182,8.313945
122,2288.015137,-225.933090,8.313945
123,2288.014893,-225.933014,8.313945
124,2288.014893,-225.932953,8.313945
125,2288.014893,-225.932892,8.313945
126,2288.014893,-225.932846,8.313945
127,2288.014893,-225.932800,8.313945
128,2288.014893,-225.932755,8.313945
129,2288.014893,-225.932709,8.313945
130,2288.014893,-225.932663,8.313945
131,2288.014893,-225.932632,8.313945
132,2288.014893,-225.932602,8.313945
133,2288.014893,-225.932571,8.313945
134,2288.014893,-225.932541,8.313945
135,2288.014648,-225.932510,8.313945
136,2288.014648,-225.932495,8.313945
137,2288.014648,-225.932495,8.313945
138,2288.014648,-225.932480,8.313945
139,2288.014648,-225.932465,8.313945
140,2288.014648,-225.932465,8.313945
141,2288.014648,-225.932449,8.313945
142,2288.014648,-225.932434,8.313945
143,2288.014648,-225.932434,8.313945
144,2288.014648,-225.932434,8.313945
145,2288.014648,-225.932419,8.313945
146,2288.014648,-225.932419,8.313945
147,2288.014648,-225.932404,8.313945
148,2288.014648,-225.932404,8.313945
