
iteration,x,y,theta
0,0.000000,-0.000000,0.000000
1,-981.100708,-1196.885864,-4.514883
2,-990.676025,-1149.036987,-4.514883
3,-999.293762,-1105.973022,-4.514883
4,-1007.049805,-1067.215454,-4.514883
5,-1014.030151,-1032.333618,-4.514883
6,-1020.312500,-1000.939941,-4.514883
7,-1025.966675,-972.685669,-4.514883
8,-1031.055298,-947.256836,-4.514883
9,-1035.635132,-924.370850,-4.514883
10,-1039.757080,-903.773499,-4.514883
11,-1043.466675,-885.235840,-4.514883
12,-1046.805420,-868.552002,-4.514883
13,-1049.810181,-853.536499,-4.514883
14,-1052.514526,-840.022522,-4.514883
15,-1054.948486,-827.859985,-4.514883
16,-1057.139038,-816.913696,-4.514883
17,-1059.110474,-807.062073,-4.514883
18,-1060.884766,-798.195557,-4.514883
19,-1062.481689,-790.215759,-4.514883
20,-1063.918823,-783.033875,-4.514883
21,-1065.212402,-776.570190,-4.514883
22,-1066.376465,-770.752869,-4.514883
23,-1067.424194,-765.517334,-4.514883
24,-1068.367188,-760.805298,-4.514883
25,-1069.215820,-756.564514,-4.514883
26,-1069.979614,-752.747742,-4.514883
27,-1070.666992,-749.312683,-4.514883
28,-1071.285645,-746.221130,-4.514883
29,-1071.842529,-743.438721,-4.514883
30,-1072.343628,-740.934570,-4.514883
31,-1072.794556,-738.680847,-4.514883
32,-1073.200562,-736.652466,-4.514883
33,-1073.565796,-734.826904,-4.514883
34,-1073.894653,-733.183960,-4.514883
35,-1074.190552,-731.705261,-4.514883
36,-1074.456787,-730.374451,-4.514883
37,-1074.696533,-729.176697,-4.514883
38,-1074.912231,-728.098755,-4.514883
39,-1075.106323,-727.128601,-4.514883
40,-1075.281128,-726.255432,-4.514883
41,-1075.438354,-725.469604,-4.514883
42,-1075.579956,-724.762390,-4.514883
43,-1075.707275,-724.125854,-4.514883
44,-1075.821899,-723.552979,-4.514883
45,-1075.925049,-723.037354,-4.514883
46,-1076.017944,-722.573364,-4.514883
47,-1076.101562,-722.155701,-4.514883
48,-1076.176758,-721.779846,-4.514883
49,-1076.244385,-721.441589,-4.514883
50,-1076.305420,-721.137146,-4.514883
51,-1076.360229,-720.863159,-4.514883
52,-1076.409546,-720.616577,-4.514883
53,-1076.453979,-720.394592,-4.514883
54,-1076.493896,-720.194885,-4.514883
55,-1076.529907,-720.015076,-4.514883
56,-1076.562256,-719.853271,-4.514883
57,-1076.591431,-719.707642,-4.514883
58,-1076.617676,-719.576599,-4.514883
59,-1076.641235,-719.458679,-4.514883
60,-1076.662476,-719.352539,-4.514883
61,-1076.681641,-719.256958,-4.514883
62,-1076.698853,-719.171021,-4.514883
63,-1076.714355,-719.093628,-4.514883
64,-1076.728271,-719.023987,-4.514883
65,-1076.740845,-718.961304,-4.514883
66,-1076.752075,-718.904846,-4.514883
67,-1076.762207,-718.854126,-4.514883
68,-1076.771362,-718.808411,-4.514883
69,-1076.779663,-718.767273,-4.514883
70,-1076.786987,-718.730286,-4.514883
71,-1076.793701,-718.696960,-4.514883
72,-1076.799683,-718.666931,-4.514883
73,-1076.805054,-718.639954,-4.514883
74,-1076.809937,-718.615723,-4.514883
75,-1076.814331,-718.593811,-4.514883
76,-1076.818237,-718.574158,-4.514883
77,-1076.821777,-718.556458,-4.514883
78,-1076.824951,-718.540527,-4.514883
79,-1076.827881,-718.526184,-4.514883
80,-1076.830444,-718.513306,-4.514883
81,-1076.832764,-718.501648,-4.514883
82,-1076.834839,-718.491211,-4.514883
83,-1076.836792,-718.481812,-4.514883
84,-1076.838379,-718.473328,-4.514883
85,-1076.839966,-718.465698,-4.514883
86,-1076.841309,-718.458862,-4.514883
87,-1076.842529,-718.452698,-4.514883
88,-1076.843628,-718.447144,-4.514883
89,-1076.844727,-718.442139,-4.514883
90,-1076.845581,-718.437622,-4.514883
91,-1076.846436,-718.433594,-4.514883
92,-1076.847168,-718.429932,-4.514883
93,-1076.847778,-718.426636,-4.514883
94,-1076.848389,-718.423706,-4.514883
95,-1076.848877,-718.421082,-4.514883
96,-1076.849365,-718.418640,-4.514883
97,-1076.849854,-718.416504,-4.514883
98,-1076.850220,-718.414551,-4.514883
99,-1076.850586,-718.412842,-4.514883
100,-1076.850830,-718.411255,-4.514883
101,-1076.851196,-718.409851,-4.514883
102,-1076.851440,-718.408569,-4.514883
103,-1076.851562,-718.407410,-4.514883
104,-1076.851807,-718.406372,-4.514883
105,-1076.852051,-718.405457,-4.514883
106,-1076.852173,-718.404663,-4.514883
107,-1076.852295,-718.403870,-4.514883
108,-1076.852417,-718.403198,-4.514883
109,-1076.852539,-718.402588,-4.514883
110,-1076.852661,-718.402039,-4.514883
111,-1076.852783,-718.401550,-4.514883
112,-1076.852905,-718.401123,-4.514883
113,-1076.852905,-718.400757,-4.514883
114,-1076.853027,-718.400391,-4.514883
115,-1076.853149,-718.400024,-4.514883
116,-1076.853149,-718.399780,-4.514883
117,-1076.853271,-718.399475,-4.514883
118,-1076.853271,-718.399231,-4.514883
119,-1076.853271,-718.399048,-4.514883
120,-1076.853394,-718.398865,-4.514883
121,-1076.853394,-718.398682,-4.514883
122,-1076.853394,-718.398560,-4.514883
123,-1076.853394,-718.398376,-4.514883
124,-1076.853516,-718.398254,-4.514883
125,-1076.853516,-718.398132,-4.514883
126,-1076.853516,-718.398071,-4.514883
127,-1076.853516,-718.397949,-4.514883
128,-1076.853516,-718.397888,-4.514883
129,-1076.853516,-718.397766,-4.514883
130,-1076.853516,-718.397705,-4.514883
131,-1076.853516,-718.397644,-4.514883
132,-1076.853638,-718.397644,-4.514883
133,-1076.853638,-718.397583,-4.514883
